Nome;Titulação;Pesquisador;Projetos Ativos
Romário de Souza Gollo;Doutorado;Não;
Ronald Lopes de Oliveira;Mestrado;Não;
Rosane Maria Cardoso;Doutorado;Sim;"O romance histórico de autoria afro-feminina : voz, memória e narrativa,GRUPO DE ESTUDOS ANCESTRA,ESTUDOS DAS LITERATURAS NEGRO-AFRO-BRASILEIRA, AFRICANAS DE LÍNGUA PORTUGUESA E AFRO-HISPANO-AMERICANAS: ENFRENTAMENTOS ANTICOLONIAIS"
Roselice Parmegiani;Mestrado;Não;
Samuel Francisco Ferrigo;Mestrado;Não;
Simone Côrte Real Barbieri;Doutorado;Sim;"
BIOPOLÍTICA E FORMAÇÃO DE PROFESSORES: Possíveis impactos na Base Nacional Comum Curricular,
Biopolítica, Educação e Formação de Professores,Grupo de Pesquisa Formação Cultural, Hermenêutica e Educação da Serra Gaúcha - GPForma Serra"
Tiago Cassol Severo;Mestrado;Sim;"Redução no Custo de Módulos Fotovoltaicos,Desenvolvimento de Células Solares Industriais em Substratos de Silício Multicristalino,Produção de Módulos Fotovoltaicos com Tecnologia Nacional de Alta Eficiência: Implementação da Planta Pré-Industrial e Análise dos Resultados,Planta Piloto de Produção de Módulos Fotovoltaicos com Tecnologia Nacional - AMPLIAÇÃO,
Implementação de Duas Unidades Geradoras de Energia Elétrica com Módulos Fotovoltaicos Eficiêntes,Gincarvi - Gincana Tecnológica"
Vanius Gava;Especialização;Não;
Verônica Bohm;Doutorado;Sim;"
INFLUÊNCIA DO ENVELHECIMENTO HUMANO NA EXECUÇÃO DAS ATIVIDADES DO CATADOR DE RESÍDUOS SÓLIDOS URBANOS A PARTIR DE SUA PERCEPÇÃO,Continuo na ativa: desafios de trabalhadores idosos no mercado de trabalho."
Verónica Pilar Gomezjurado Zevallos;Doutorado;Sim;"LNV - Linguagens Não Verbais: Expressão, Significação e Cultura,Linguagem e corporeidade"
Vialana Ester Salatino;Doutorado;Sim;"GRUPO DE PESQUISA FORMAÇÃO CULTURAL, HERMENÊUTICA E EDUCAÇÃO DA SERRA GAÚCHA (GPFORMA-SERRA)"
Ana Cristina Fachinelli;Doutorado;Sim;"Inteligência Artificial e Ciência Cidadã para a Descarbonização Urbana: Enfrentamento à Desinformação e Inovação Sustentável.,
Impacto do engajamento cidadão em iniciativas de Descarbonização em cidades: Uma abordagem de ciência cidadã,
Agro. CityLivingLab: Agricultura Inteligente em Cidades,Sistema de coleta de dados por dispositivos IoT (sensoriamento) para cidades inteligentes,Observatório do desenvolvimento sustentável baseado no conhecimento: um modelo de monitoramento do sistema de capitais para cidades do conhecimento,CIGSTUR - Competitividade, Inovação, Governança e Sustentabilidade no Turismo,CITY LIVINGLAB: PROPOSIÇÃO DE UM MODELO MULTIDIMENSIONAL DE LABORATÓRIO VIVO EM CIDADES DO CONHECIMENTO,Constituição dos Saberes na Interação entre a Aprendizagem Formal e Informal nas Organizações,
KBD II - CONSTRUÇÃO E VALIDAÇÃO DE UM MODELO DE OBSERVATÓRIO DE DESENVOLVIMENTO BASEADO EM CONHECIMENTO DA REGIÃO DA SERRA GAÚCHA COMO UMA PLATAFORMA PARA A PROMOÇÃO DE TERRITÓRIOS INTELIGENTES"
Bianca Libardi,Mestrado;Sim;"Data driven em ambientes complexos,CITY LIVINGLAB: PROPOSIÇÃO DE UM MODELO MULTIDIMENSIONAL DE LABORATÓRIO VIVO EM CIDADES DO CONHECIMENTO"
Blanca Garcia;Doutorado;Sim;
