Sigla IES;Nome;Autores
UFMG;MOLÉCULA QUIMÉRICA RECOMBINANTE, ÁCIDO NUCLEICO RECOMBINANTE, MÉTODO E USOS PARA ESQUISTOSSOMOSES;['RODOLFO CORDEIRO GIUNCHETTI', 'ISADORA BRAGA GANDRA', 'JONATAS OLIVEIRA DA SILVA', 'ANA ALICE MAIA GONCALVES', 'REYSLA MARIA DA SILVEIRA MARIANO', 'LAIS MOREIRA NOGUEIRA', 'MICHELLI DOS SANTOS', 'JULIANA MARTINS MACHADO', 'MARIANA CAMPOS DA PAZ LOPES GALDINO', 'ALEXSANDRO SOBREIRA GALDINO']
UB;BIOMATERIAL A BASE DE NANOPARTÍCULAS DE NIÓBIO E/OU CARBONETO DE NIÓBIO PARA REPARO TECIDUAL COM AÇÃO ANTIMICROBIANA;['ALESSANDRO FRAGA FARAH', 'CARLOS ALBERTO FORTULAN', 'ALESSANDRO MARCIO HAKME DA SILVA', 'PAULO HENRIQUE DIAS FERREIRA', 'WANESSA DE CASSIA MARTINS ANTUNES DE MELO']
UFJ;PLACA DE RECONSTRUÇÃO BLOQUEADA L PARA FRATURAS DE FÊMUR DE TAMANDUÁ-BANDEIRA (MYRMECOPHAGA TRIDACTYLA);['FABIANA AZEVEDO VOORWALD', 'THIAGO ANDRE SALVITTI DE SA ROCHA', 'MARIA DE FATIMA COTTA DA SILVA']
UNIFAL-MG;FORMULAÇÕES NANOTECNOLÓGICAS ADITIVADAS COM MODIFICADORES REOLÓGICOS PARA USO BUCAL;['MATEUS FREIRE LEITE', 'ISADORA CARVALHO NOVAES MOREIRA', 'MYLENE LOPES CRIVELARI', 'DOUGLAS PESSOA LACERDA', 'ANA PAULA MAYUMI SAEKI UTIYAMA', 'BEATRIZ BOSQUEIRO MARABESI']
UFPB-BANANEIRAS;PROCESSO E OBTENÇÃO DE HIDROLISADOS PROTEICOS EXTRAÍDOS DE PENA DE FRANGO CAIPIRA;['MARTA SUELY MADRUGA', 'EIKE GUILHERME TORRES DE SOUZA', 'MIRIANE MOREIRA FERNANDES SANTOS', 'CRISTIANI VIEGAS BRANDAO GRISI', 'VALQUIRIA CARDOSO DA SILVA FERREIRA', 'FABIO ANDERSON PEREIRA DA SILVA']
UFMA;BIOCÁPSULAS GELATINOSAS DE COMPLEXO CRISTALINO PARA USO FARMACÊUTICO;['ADENILSON OLIVEIRA DOS SANTOS', 'JAD LORENA FEITOSA SIMPLICIO', 'FRANCISCO NATHANAEL BATISTA DOMINGOS', 'JOAO GOMES DE OLIVEIRA NETO', 'MARINALDO VILAR DE SOUZA JUNIOR', 'FRANCISCO FERREIRA DE SOUSA']
UESC;OBTENÇÃO DOS COMPLEXOS DE COORDENAÇÃO DE  EURÓPIO (EU3+) E TÉRBIO (TB3+) COMBINADOS COM  LIGANTES  -DICETONATOS, SULFÓXIDOS, FÁRMACOS E  NAFTOQUINONAS COM FINALIDADE ANSIOLÍTICA;['JORGE FERNANDO SILVA DE MENEZES', 'MARIA KUEIRISLENE AMÂNCIO FERREIRA', 'JANE EIRE SILVA ALENCAR DE MENEZES', 'HÉLCIO SILVA DOS SANTOS', 'EMMANUEL SILVA MARINHO', 'ALUÍSIO MARQUES DA FONSECA', 'ANDREI MARCELINO SA PIRES SILVA']
CEFET-MG;COMPOSIÇÕES POLIMÉRICAS À BASE DE POLISSACARÍDEOS E ÓLEO VEGETAL, PROCESSOS PARA OBTENÇÃO E USO COMO FONTE DE GORDURA PARA PRODUTOS CÁRNEOS ARTIFICIAIS;['ERIKA CRISTINA JORGE', 'ISABELLA PAULA DE ARAUJO', 'JULIANO DOUGLAS SILVA ALBERGARIA', 'LUCIANA DE OLIVEIRA ANDRADE', 'JOAO PAULO FERREIRA SANTOS', 'ALINE BRUNA DA SILVA']
UFF;SISTEMA E MÉTODO PARA DETECÇÃO DE FLUXO SANGUÍNEO NO INTERIOR DA CÂMARA PULPAR DE DENTES;['JOSE AUGUSTO OLIVEIRA HUGUENIN', 'LADARIO DA SILVA']
UFG;SENSOR MICROFLUÍDICO PORTÁTIL PARA DIAGNÓSTICO DE FIBROSE CÍSTICA E PROCESSO DE PREPARAÇÃO DO SENSOR;['WENDELL KARLOS TOMAZELLI COLTRO', 'DANIELLY SANTOS ROCHA']
