Sigla da IES;Instituição;Patente;Autores
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO SUSTENTÁVEL DE OBTENÇÃO DE EXTRATO VEGETAL A PARTIR DO BAGAÇO DA OLIVA, COMPOSIÇÃO DE UM NANOCARREADOR VESICULAR VEGANO DE ORIGEM NATURAL CONTENDO ESTE EXTRATO E O USO COSMÉTICO, ALIMENTÍCIO E AGROPECUÁRIO DESTE EXTRATO E DESTA COMPOSIÇÃO;['LIGIA DAMASCENO FERREIRA MARCZAK', 'ROBERTA COUGO RIEFFEL', 'SIMONE JACOBUS BERLITZ', 'IRENE CLEMES KULKAMP GUERREIRO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;FORMULAÇÕES DE REVELADORES DE IMPRESSÕES DIGITAIS DERIVADOS DA CURCUMINA NATURAL;['CLAUDIO MARTIN PEREIRA DE PEREIRA', 'AMANDA FONSECA LEITZKE', 'TAIS POLETTI', 'BRUNO NUNES DA ROSA', 'DANIELLE TAPIA BUENO', 'MILENA MATTES CERVEIRA', 'GUILHERME KURZ MARON', 'RODRIGO DE ALMEIDA VAUCHER', 'NEFTALI LENIN VILLARREAL CARREÑO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PEPTÍDEOS SINTÉTICOS COM ATIVIDADE DE INIBIÇÃO DA ENZIMA CONVERSORA DE ANGIOTENSINA E POTENCIAL ATIVIDADE ANTI-HIPERTENSIVA;['LUCELIA SANTI', 'RAUL IZIDORO CARNEIRO', 'HUGO VERLI', 'CAMILA INNOCENTE ALVES', 'WALTER ORLANDO BEYS DA SILVA']
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;PRODUTO E MÉTODO DE PRODUÇÃO DE TIJOLO ECOLÓGICO À BASE DE SOLO EÓLICO, SÍLICA DE CASCA DE ARROZ, CAPIM ANONNI TRATADO E CIMENTO;['WILBER FELICIANO CHAMBI TAPAHUASCO', 'LUZIELE OLIVEIRA DE OLIVEIRA', 'NATALIA DO NASCIMENTO GARCEZ', 'VITOR ROMARIO CHARAO NUNES', 'LUCIELE BILHALVA CAMPAGNOLO', 'EDERLI MARANGON']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MÉTODO E SISTEMA DE INTERMÉDIO DE ACESSO PARA ELEMENTO DE PROCESSAMENTO DE ENERGIA;['LUCIANE SILVA NEVES', 'RAFAEL GRESSLER MILBRADT', 'TIAGO ANTONIO RIZZETTI']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPOSTO DE GRAFENO, NANOCOMPÓSITOS E SEUS USOS.;['DIEGO PIAZZA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COOLING SYSTEM AND METHOD FOR BATTERY CELL;['GIOVANI DAMBROS TELLI', 'SYVIE LORENTE', 'GUNGOR, SAHIN']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;BALA DE GOMA ADICIONADA DE ÓLEO ESSENCIAL DE ERVA BALEEIRA (CORDIA VERBENACEA);['JAMILE ZENI', 'TALITA POLON', 'GABRIELA ISABEL CANTELE', 'FERNANDA CAROLINE UTTEICH', 'EMILI OTOWICZ', 'JOAO VICTOR ARALDI', 'DEIVID PAULO SESSE', 'VICTOR VARGAS DA CAMPO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;MICROPARTÍCULAS BIOPOLIMÉRICAS CARREADORAS DE MOLÉCULAS HERBICIDAMENTE ATIVAS;['ANDRE RICARDO FAJARDO', 'HENRIQUE PERES DA MOTA', 'ANDRESSA BAPTISTA NORNBERG', 'VINICIOS RAFAEL GEHRKE', 'LUIS ANTONIO DE AVILA', 'EDINALVO RABAIOLI CAMARGO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;APLICAÇÃO DA VOLTAMETRIA DE MICROPARTÍCULA IMOBILIZADA NA TAXONOMIA DE BACTÉRIAS PATOGÊNICAS;['PEDRO EDUARDO ALMEIDA DA SILVA', 'RAFAELA VENDRAMIN COMUNELLO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'FABIANA BARREIROS FERREIRA', 'ANA JULIA REIS', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE ELETRODO DE FILME QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA APLICADO A DETERMINAÇÃO VOLTAMÉTRICA DE CAFEÍNA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'DAIANE DIAS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PREPARO E OBTENÇÃO DE COMPOSTOS DE ORIGEM VEGETAL COM POTENCIALANTIOXIDANTE, FOTOPROTETOR, ANTIBACTERIANO E ANTIFÚNGICO, PARAAPLICAÇÃO EM COSMÉTICOS E COMO ADITIVOS ALIMENTARES;['ARCI DIRCEU WASTOWSKI', 'UBIRATAN ALEGRANSI BONES', 'KAUANE ANDRESSA FLACH', 'GENESIO MARIO DA ROSA', 'ALEXANDRE TIBURSKI NETO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;UTILIZAÇÃO DA 7-CLORO-4-(FENILSELANIL) QUINOLINA COMO AGENTE ANTITUMORAL PARA CÂNCER DE MAMA, LEUCEMIA, SARCOMA E DE BEXIGA;['DIEGO DA SILVA ALVES', 'KETLYN PEREIRA DA MOTTA', 'ALLYA LARROZA MUHAMMAD EID', 'JAINI JANKE PALTIAN', 'ANGELICA SCHIAVOM DOS REIS', 'BRUNA SILVEIRA PACHECO', 'ETHEL ANTUNES WILHELM', 'TIAGO VEIRAS COLLARES', 'FABIANA KOMMLING SEIXAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LAB COLOR CHART;['CESAR VALMOR ROMBALDI', ' ARLIENE DO SOCORRO BATISTA DOS SANTOS', 'FLAVIA TAYNA SERRA SILVA', 'RENIRES DOS SANTOS TEIXEIRA', 'MARCIA VIZZOTTO', 'LEONARDO NORA']
