Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EXTRAÇÃO INDUZIDA POR QUEBRA DE MICROEMULSÃO ASSOCIADA À DETERMINAÇÃO VOLTAMÉTRICA: UMA UNIÃO PROMISSORA PARA MONITORAR METAIS EM BIODIESEL;TESE;['CRISTIAN HENRIQUE KRAUSE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;: “ÁCAROS NASAIS EM AVES MARINHAS E COSTEIRAS: DIVERSIDADE E RELAÇÕES PARASITOHOSPEDEIRO”;TESE;['SILVIA BAINY GASTAL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Tempos de Mistura de Cadeias de Markov: Relações com outros indicadores e estimativas para o passeio aleatório no toro;DISSERTAÇÃO;['HUMBERTO DE LIMA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AVALIAÇÃO DE MODELOS DE PREDIÇÃO DE MUDANÇAS DE USO DO SOLO  EM TRÊS BIOMAS BRASILEIROS;DISSERTAÇÃO;['MACLEIDI JUNIOR VARNIER']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;ESTABELECIMENTO DE MÉTODO MULTIRESÍDUO DE AGROTÓXICOS EM ÁGUA PARA AVALIAÇÃO DA POTABILIDADE;DISSERTAÇÃO;['GABRIEL ALEXSANDER BARBOZA PRATES']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ALÉM DOS NÚMEROS: UMA PERSPECTIVA MULTIMODAL NA AVALIAÇÃO IMOBILIÁRIA;DISSERTAÇÃO;['LUIS FERNANDO BITTENCOURT']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SÍNTESE DE 1H-ISOCALCOGENOCROMENOS VIA REAÇÃO DE CICLIZAÇÃO NUCLEOFÍLICA DE BENZODIINOS PROMOVIDAS POR CALCOGENOLATOS DE SÓDIO;TESE;['ADRIANO MARONEZE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EVOLUÇÃO E GEOMETRIA DA POROSIDADE DE PETROFÁCIES CARACTERÍSTICAS DA SUCESSÃO PRÉ-SAL APTIANA DA BACIA DE SANTOS;DISSERTAÇÃO;['WILLIAM DA SILVEIRA FREITAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;O Componente Curricular Química na Educação Profissional de Nível Médio em Institutos Federais no Estado do Rio Grande do Sul: Percepções sobre o Ensino de Química nesse Contexto;TESE;['WALTER ROMEU BICCA JUNIOR']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Mapeamento Semântico entre Linhas do Pensamento Computacional e Mecânicas de Jogos Sérios: um estudo de caso para a Decomposição;TESE;['ANDRE LUIS MACEDO CARUSO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Descrição da morfologia dentária do cação-gatolistrado Mustelus fasciatus (Garman, 1913) (Carcharhiniformes - Triakidae) do sul do Brasil;DISSERTAÇÃO;['KARINA COSTA REGO SILVA']
