Sigla da IES;Instituição;Projeto;Responsável
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;WORKSHOP DE VISUALIZAÇÃO E MANIPULAÇÃO DE DADOS DE EEG: PYTHON PARA NÃO PROGRAMADORES;TERCIO APOLINARIO DE SOUZA
FEEVALE;UNIVERSIDADE FEEVALE;PROGRAMA INSTITUCIONAL DE BOLSAS DE PÓS-GRADUAÇÃO (PIBPG);FERNANDO ROSADO SPILKI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SenseTag: Projeto e Prototipação de Circuito Integrado e Antenas para Harvesting de Energia para Internet das Coisas;SERGIO BAMPI
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Laboratório de Ciência de Imagens - INOV[ENTER];DINALVA AIRES DE SALES
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;50/50 - Igualdade de gênero no ensino e no mercado da comunicação;JULIANA PETERMANN
UFN;UNIVERSIDADE FRANCISCANA;Empreendedorismo, Liderança e Tecnologias gerenciais e sociais em Enfermagem e Saúde Materno-Infantil;DIRCE STEIN BACKES
UCS;UNIVERSIDADE DE CAXIAS DO SUL;DESENVOLVIMENTO DE SISTEMA COMPUTACIONAL PARA COLETA E GERENCIAMENTO DE DADOS DE QUALIDADE DE  INCUBATÓRIO DE FRANGOS DE CORTE;SCHEILA DE AVILA E SILVA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Garra;MATHEUS PARMEGIANI JAHN
UCS;UNIVERSIDADE DE CAXIAS DO SUL;FungiTech - FINEP;MARLI CAMASSOLA
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;Soluções baseadas em Aprendizagem para Gerenciamento de Cidades Inteligentes.;RAFAEL KUNST
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Inteligência Artificial aplicada às Ciências Sociais;HENRIQUE CARLOS DE OLIVEIRA DE CASTRO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;ATCNST;ALEXANDRE JOSE GONCALVES AVINO
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Rota 2030 - FUNDEP: Desenvolvimento de motor automotivo movido a biohidrogênio para o mercado brasileiro;MARIO EDUARDO SANTOS MARTINS
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Motor a etanol de elevada densidade de potência para aeronaves de pequenoporte e/ou VANT;MARIO EDUARDO SANTOS MARTINS
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PREPARE-TID;ANDRE FELIPE STRECK
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PREPARE-TID;ANDRE FELIPE STRECK
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Desenvolvimento de uma plataforma para apoiar cenários de atividades educacionais em grupo a distância configuráveis e extensíveis.;RODRIGO PRESTES MACHADO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COLETA E SISTEMATIZAÇÃO DE DADOS SOBRE O SETOR TURÍSTICO DE GRAMADO;MICHEL BREGOLIN
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;Bioconversão de resíduos agroindustriais para produção de ração animal e biofertilizante;DIEGO PRADO DE VARGAS
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Desenvolvimento de testes sorológicos nacionais (Point-of-Care e ELISA) para COVID-19;FABRICIO ROCHEDO CONCEICAO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Observatório de Turismo da Serra Gaúcha;SUZANA MARIA DE CONTO
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Desenvolvimento de membranas de poli(líquidos)iônicos para remoção de CO2 de correntes gasosas;SANDRA MARA OLIVEIRA EINLOFT
