Sigla da IES;Instituição;Projeto;Responsável
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Produção e inovação em leite e derivados, ovos e mel;MARCIA MONKS JANTZEN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Avaliação e controle em carne, pescado e derivados;CESAR AUGUSTO MARCHIONATTI AVANCINI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Inspeção de leite e derivados, ovos e mel;GUIOMAR PEDRO BERGMANN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Inspeção de carne, pescado e derivados;SUSANA CARDOSO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FOMENTO À FORMAÇÃO DE RECURSOS HUMANOS EM GEOCIÊNCIAS POR MEIO DA CRIAÇÃO DO PRH-PB 15;JAIR WESCHENFELDER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;REDE DE COOPERAÇÃO TECNÓLOGICA EM HIV/AIDS;RICARDO DE SOUZA KUCHENBECKER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE UM SOFTWARE PARA PROCESSAMENTO E ANÁLISE DE SINAIS BIOLÓGICOS UTILIZADOS EM BIOMECÂNICA;JEFFERSON FAGUNDES LOSS
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;MELHORIA DE PROCESSO DE SOFTWARE DE FORMA ITERATIVA E INCREMENTAL;RAFAEL PRIKLADNICKI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Intrumentação aplicada à indústria agropecuária;ALEXANDRE BALBINOT
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Produção de Videoaulas de Matemática com tradução em Libras;TATIANA BOLIVAR LEBEDEFF
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Projeto  ANEEL-CGTEE-FLE - Uso de Fly-Ash em tintas;LUIS FREDERICO PINHEIRO DICK
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Nanoestruturas Híbridas com Flavonoides e sua Avaliação na Atividade Anticancerígena;ROSANE ANGELICA LIGABUE
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Produção e inovação em carne, pescado e derivados;SAIONARA ARAUJO WAGNER
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Produção de glitter biodegradável a base de poli3hidroxibutirato;PATRICIA DIAZ DE OLIVEIRA
UNILASALLE;UNIVERSIDADE LA SALLE;DESENVOLVIMENTO DE UMA FERRAMENTA ONLINE PARA AVALIAÇÃO E ORIENTAÇÃO SOBRE O RISCO DE QUEDAS;LIDIANE ISABEL FILIPPIN
UNILASALLE;UNIVERSIDADE LA SALLE;POTENCIAL EFEITO SINÉRGICO DA ASSOCIAÇÃO DO EXERCÍCIO FÍSICO E ANTAGONISTA OPIOIDE EM PACIENTES COM DOR CRÔNICA MUSCULOESQUELÉTICA GENERALIZADA;LICIANE FERNANDES MEDEIROS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INFRA-ESTRUTURA DO LABORATÓRIO DE MICROSSONDA ELETRÔNICA DO INSTITUTO DE GEOCIÊNCIAS DA UFRGS - GEOMISE - CT-INFRA 2009;LEO AFRANEO HARTMANN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO, CARACTERIZAÇÃO E AVALIAÇÃO DA VIABILIDADE DE USO DE MATERIAIS COMPÓSITOS AVANÇADOS EM ENGENHARIA;LUIZ CARLOS PINTO DA SILVA FILHO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE MODELOS E PROTÓTIPOS PARA APOIO À PESQUISA DE MATERIAIS DE FRICÇÃO UTILIZADOS EM FREIOS AUTOMOTIVOS;NEY FRANCISCO FERREIRA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GESTÃO DE INOVAÇÃO E TECNOLOGIA;MARCIA ELISA SOARES ECHEVESTE
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;NÚCLEO DE ESTUDOS EM DESENVOLVIMENTO RURAL SUSTENTÁVEL E MATA ATLÂNTICA (DESMA);GABRIELA PEIXOTO COELHO DE SOUZA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;NÚCLEO DE ESTUDOS E PESQUISAS EM SEGURANÇA ALIMENTAR E NUTRICIONAL (NESAN);GABRIELA PEIXOTO COELHO DE SOUZA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FORTALECIMENTO DA REDE ORIENTADA AO DESENVOLVIMENTO DA AGROECOLOGIA;FABIO KESSLER DAL SOGLIO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GRUPO DE PESQUISA EM TECNOLOGIA, MEIO AMBIENTE E SOCIEDADE (TEMAS);JALCIONE PEREIRA DE ALMEIDA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Grupo de Estudos e Pesquisas em Agricultura, Alimentação e Desenvolvimento (GEPAD);SERGIO SCHNEIDER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GRUPO DE PESQUISA INTERDISCIPLINAR EM MEIO AMBIENTE E DESENVOLVIMENTO (GRIMAD);ROBERTO VERDUM
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PAGUS - LABORATÓRIO DA PAISAGEM;ROBERTO VERDUM
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GRUPO DE ESTUDOS E PESQUISAS EM ALIMENTAÇÃO, CONSUMO E CULTURA (GEPAC);RENATA MENASCHE
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;TECNOLOGIA CMOS;HENRI IVANOV BOUDINOV
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;LABORATÓRIO DE ÁUDIO EM COMPUTAÇÃO;MARCELO DE OLIVEIRA JOHANN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;GESTÃO CONHECIMENTO, INOVAÇÃO E TECNOLOGIA;CARLA SCHWENGBER TEN CATEN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SUSTENTABILIDADE DE PRODUTOS E PROCESSOS;ISTEFANI CARISIO DE PAULA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Análise e Diagnóstico Visando a Definição do Modelo de Suprimento de Energia das Lojas Renner Empregando Fontes Limpas e Renováveis de Energia;ADRIANE PRISCO PETRY
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE BASE DE DADOS REFERENTE À PROPRIEDADE INTELECTUAL E TECNOLOGIA DE INFORMAÇÃO PARA FORTALECIMENTO DO NÚCLEO DE PROPRIEDADE INTELECTUAL;JORGE LUIS NICOLAS AUDY
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE PROCESSOS INDUSTRIAIS PARA FABRICAÇÃO DE CÉLULAS SOLARES COM PASTA DE ALUMÍNIO;IZETE ZANESCO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Desenvolvimento de elastômeros de alta performance para a indústria automotiva;JANAINA DA SILVA CRESPO
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;Laboratório Interativo de Criatividade: desenvolvendo ambientes para a inovação;LIANE MAHLMANN KIPPER
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Computação Cognitiva aplicada à Alfabetização Financeira;CARINE GELTRUDES WEBBER
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Captura e Separação de CO2 e H2S;JAIRTON DUPONT
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Emprego de energia micro-ondas e energia ultrassom para intensificação do processo de conversão de biomassa e valorização de resíduos;CEZAR AUGUSTO BIZZI
FEEVALE;UNIVERSIDADE FEEVALE;DESENVOLVIMENTO DE FIXAÇÕES FERROVIÁRIAS EM POLÍMERO;VANUSCA DALOSTO JAHNO
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;ITT CHIP - Instituto Tecnológico de semicondutores- Unisinos;ALSONES BALESTRIN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Políticas Públicas, Legislação e Instituições de gestão do patrimônio Cultural no Brasil;RENATA OVENHAUSEN ALBERNAZ
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Análise de Materiais e Processos de Soldagem;JOSE ANTONIO ESMERIO MAZZAFERRO
UERGS;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;Desenvolvimento e e controle de qualidade de produtos a base de carne ovina;FERNANDA LEAL LEAES
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Tecnologias Educacionais em Rede (TER) e Recursos Educacionais Abertos (REA) na Formação de Professores: acervo de materiais digitais do ADE;ELENA MARIA MALLMANN
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;TERRA, TERRITÓRIO, DIREITO À MORADIA E EDUCAÇÃO GEOGRÁFICA NO QUILOMBO DOS ALPES;CLAUDIA LUISA ZEFERINO PIRES
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Rejeitos de Mineração de Ferro: Comportamento de Pilhas sob Altas Tensões;NILO CESAR CONSOLI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ATENUAÇÃO DE CARGAS PELA INTERAÇÃO SOLO-ESTRUTURA EM LINHAS DE ANCORAGEM;NILO CESAR CONSOLI
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Codesign entre projetistas do século XXI e pessoas com deficiência visual: processos e produtos;ANDREA QUADRADO MUSSI
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Tecnologia, Inovação e Sustentabilidade;THAISA LEAL DA SILVA
FACS-GHC;FACULDADE DE CIÊNCIAS DA SAÚDE DO GRUPO HOSPITALAR CONCEIÇÃO;AVALIAÇÃO E CUIDADOS DE NUTRIÇÃO;ROSA MARIA LEVANDOVSKI
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Uso de Veículos Aéreos Não Tripulados no monitoramento ambiental;ANDREAS KINDEL
UFN;UNIVERSIDADE FRANCISCANA;Tecnologias de Informação e Vigilância em Saúde Materno Infantil;PATRICIA PASQUALI DOTTO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PVCANTIMICRO;ROSMARY NICHELE BRANDALISE
FEEVALE;UNIVERSIDADE FEEVALE;VIGILÂNCIA EPIDEMIOLÓGICA MOLECULAR DE VARIANTES DO SARS-COV-2 EM PONTOS DA FRONTEIRA BRASIL-ARGENTINA;FERNANDO ROSADO SPILKI
HCPA;HOSPITAL DE CLÍNICAS DE PORTO ALEGRE;Desenvolvimento de Instrumento para Autoliberação da Musculatura Suboccipital e Proposta de Ensaio Clínico para Avaliação de Eficácia;FERNANDA DOS SANTOS DE OLIVEIRA
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;N2N - framework para criação automática de redes sociais orientadas à saúde e bem-estar;JOAO CARLOS DAMASCENO LIMA
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Utilização de diferentes tipos de resíduos na composição de materiais sustentáveis;RICHARD THOMAS LERMEN
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;TORAS SERRA MORENA;EDUARDO NUNES BORGES
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Estudo e desenvolvimento de motor de busca baseado em aprendizado de máquina;EDUARDO NUNES BORGES
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;3D XL - Impressão 3D para Indústria Automotiva;BRUNO LOPES DALMAZO
UNILASALLE;UNIVERSIDADE LA SALLE;Inovação em Instituições de Ensino Superior por meio do desenvolvimento e uso de ferramentas de gestão;PAULO FOSSATTI
UFN;UNIVERSIDADE FRANCISCANA;Empreendedorismo, Liderança e Tecnologias gerenciais e sociais em Enfermagem e Saúde Materno-Infantil;DIRCE STEIN BACKES
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PPGRAPHE - FORD MAI DAI CNPq- Estudo de metodologias para o desenvolvimento de compósitos nanoestruturados de polipropileno contendo grafeno e/ou seus derivados;DIEGO PIAZZA
UCS;UNIVERSIDADE DE CAXIAS DO SUL;IMOGRAFENO;JADNA CATAFESTA
UNILASALLE;UNIVERSIDADE LA SALLE;A implantação da Base Nacional Comum Curricular como uma política pública articulada ao ideário do direito a educação de qualidade: perspectivas e desafios para a sua efetivação na Rede Municipal de Ensino de Nova Santa Rita;DIRLEIA FANFA SARMENTO
UPF;UNIVERSIDADE DE PASSO FUNDO;Sistema e-Lifestyle: uma solução e-Health para monitoramento das condições de saúde de pacientes hipertensos;ANA CAROLINA BERTOLETTI DE MARCHI
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Educação para a carreira em escolas públicas e privadas de Porto Alegre;MANOELA ZIEBELL DE OLIVEIRA
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Brio-tecnologia antártica como alternativa para produção de medicamentos.;FILIPE DE CARVALHO VICTORIA
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Desenvolvimento de processos de micropropagação clonal de plantas integrando cultura de tecidos, nanotecnologia e microbiologia;VALDIR MARCOS STEFENON
UERGS;UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;Qualidade e inovação com erva-mate;MARC FRANCOIS RICHTER
FEEVALE;UNIVERSIDADE FEEVALE;COMPORTAMENTO NO CONSUMO DE PRODUTOS QUE UTILIZAM ANIMAIS EM TESTES;MARCELO CURTH DE OLIVEIRA
FEEVALE;UNIVERSIDADE FEEVALE;ESTUDO E DESENVOLVIMENTO DE METODOLOGIA PARA RECUPERAÇÃO E ANÁLISE DAS TÉCNICAS PARA IDENTIFICAÇÃO E CARACTERIZAÇÃO DE MICROPLÁSTICOS EM SOLOS;VANUSCA DALOSTO JAHNO
FEEVALE;UNIVERSIDADE FEEVALE;FASE II - CORONA-ÔMICA BR MCTI REDE NACIONAL DE GENOMAS, EXOMA E TRANSCRIPTOMA DE COVID-19;FERNANDO ROSADO SPILKI
FEEVALE;UNIVERSIDADE FEEVALE;TRATAMENTO SUPERFICIAL DE MENOR IMPACTO AMBIENTAL COMO ALTERNATIVA AO PROCESSO INDUSTRIAL APLICADO EM IMPLANTES DE TITÂNIO;CLAUDIA TRINDADE OLIVEIRA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FUNDAMENTAL MOTOR SKILLS ANIMATION (FMSA-App) AND GROSS MOTOR SKILLS ANIMATION (GMS-App);NADIA CRISTINA VALENTINI
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;LeME Transforma;MAUREN PORCIUNCULA MOREIRA DA SILVA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Desenvolvimento de Supercapacitor;MARCOS JOSE LEITE SANTOS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Reprodução in vitro e congelamento de gametas como ferramentas tecnológicas para conservação do coral-cérebro Mussismilia harttii (Verrill, 1868) e recuperação de recifes degradados;YUGO MORAES PASTRANA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UVCOVID-19: Desenvolvimento e estabelecimento de parâmetros de desinfecção para reutilização de EPIs durante a pandemia de COVID19;LILIANA AMARAL FERIS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Desenvolvimento de novas tecnologias e modelos de negócios aplicáveis à construção com base em conhecimento intensivo;CARLA SCHWENGBER TEN CATEN
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;"SMART - Desenvolvimento inteligente de inibidores de corrosão de aço pelo CO2 a partir de ensaios experimentais e métodos de ""Materials Informatics";FELIPE DALLA VECCHIA
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;REACLOUD: Solução para armazenamento e recuperação de REAs adaptados a BNCC para suporte ao Ensino Básico;TIAGO THOMPSEN PRIMO
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Estímulo da Cooperação Empresarial para Implantação de Projetos de Inovação Aberta no Ecossistema de Inovação da Região Sul do RS;FELIPE DE SOUZA MARQUES
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Desenvolvimento de um compósito a base de grafeno para uso em escovas para motores elétricos de corrente contínua - IMOgrafeno;JADNA CATAFESTA
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Planejamento e desenvolvimento de biofármacos e biossimilares;LUIZ AUGUSTO BASSO
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;P&D/EMBRAPII - DESENVOLVIMENTO DE ESPECTRO LUMINOSO DEDICADO E DE SISTEMA DE ILUMINAÇÃO ‘GROW LIGHT’ PARA CULTIVO DE PLANTAS EM AMBIENTE FECHADO;MARCO ANTONIO DALLA COSTA
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Determinação da razão isotópica de carbono e hidrogênio de hidrocarbonetos de C1 a C5, presentes em baixas concentrações;FELIPE DALLA VECCHIA
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Caracterização Constitutiva de Compostos Elastoméricos para Uso em Acoplamentos Flexíveis;ROGERIO JOSE MARCZAK
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Manufatura avançada utilizando materiais compósitos, polímeros nanocarregados e biopolímeros para vasos de pressão;SANDRO CAMPOS AMICO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Utilização de métodos de otimização estrutural para o aumento da vida útil em fadiga de peças/componentes voltados ao transporte rodoviário de cargas;IGNACIO ITURRIOZ
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Desenvolvimento de motor de alta eficiência movido a biogás e hidrogênio para geração de energia;MARIO EDUARDO SANTOS MARTINS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Desenvolvimento de Motor a Biogás de Alta Eficiência Para Veículos de Transporte de Carga;MARIO EDUARDO SANTOS MARTINS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Motor à etanol de elevada densidade de potência para aeronaves de pequeno porte e/ou VANT;MARIO EDUARDO SANTOS MARTINS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Soluções de propulsão a hidrogênio para motores de combustão interna de máquinas agrícolas;MARIO EDUARDO SANTOS MARTINS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Injeção de ultra-alta pressão para motores flex-fuel: desafios tecnológicos para uso de etanol;MARIO EDUARDO SANTOS MARTINS
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;TechTrap: Sistema 4.0 automatizado de monitoramento remoto para auxílio no controle da mosca-das-frutas;SHANA SABBADO FLORES
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROPOSTA DE UM EQUIPAMENTO PARA MEDIR O TORQUE GERADO NA INTERAÇÃO DE DIFERENTES SOLADOS DE CALÇADOS COM A SUPERFÍCIE DE CONTATO;JEFFERSON FAGUNDES LOSS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AVALIAÇÃO DAS PROPRIEDADES PSICOMÉTRICAS DA ATUALIZAÇÃO DOS QUESTIONÁRIOS BACKPEI-CA E BACKPEI-A;CLAUDIA TARRAGO CANDOTTI
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Desenvolvimento de Células Solares Bifaciais PERT Base n com Redução de Etapas Térmicas;IZETE ZANESCO
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Observatório de Turismo da Serra Gaúcha;SUZANA MARIA DE CONTO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Avaliação e controle em leite e derivados, ovos e mel;LIRIS KINDLEIN
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Codesign no ambiente escolar: fabricação digital, processos e produtos numa educação empreendedora;ANDREA QUADRADO MUSSI
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Codesign no ambiente escolar numa aprendizagem criativa utilizando fabricação digital e prototipagem rápida: processos e produtos;ANDREA QUADRADO MUSSI
ATITUS EDUCAÇÃO;FACULDADE ATITUS EDUCAÇÃO PASSO FUNDO;Criação de um Geoportal com tecnologias de software livres para o Estado do Rio Grande do Sul;ALCINDO NECKEL
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;INOVA + VALES: DESENVOLVENDO O ECOSSISTEMA REGIONAL DE INOVAÇÃO;ANDREIA ROSANE DE MOURA VALIM
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Instrumentação Científica;FABRICIO FERRARI
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Materiais híbridos magnético-fluorescentes: síntese e aplicação de reveladores de impressão digitiais;RICARDO MEURER PAPALEO
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;CNPq No 23/2018 (DAI) - Projeto Doutorado Acadêmico para Inovação (DA)I - Unisinos;ALSONES BALESTRIN
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;CNPq No 23/2018 (DAI) - Projeto Doutorado Acadêmico para Inovação (DA)I - Unisinos;ALSONES BALESTRIN
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Desenvolvimento e Construção de um Drone Aquático para o Monitoramento dos Parâmetros Físico-Químicos de Corpos Hídricos;THIAGO HENRIQUE LUGOKENSKI
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DIMENSIONAMENTO AMOSTRAL E MELHORAMENTO DE PLANTAS DE COBERTURA DO SOLO;MARCOS TOEBE
UCS;UNIVERSIDADE DE CAXIAS DO SUL;REMODELAGEM_SIAMBIENTAL;JULIANO RODRIGUES GIMENEZ
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PLANOS FLORES DA CUNHA;JULIANO RODRIGUES GIMENEZ
UCS;UNIVERSIDADE DE CAXIAS DO SUL;ESAAPP;JULIANO RODRIGUES GIMENEZ
UCS;UNIVERSIDADE DE CAXIAS DO SUL;EMPMSB;JULIANO RODRIGUES GIMENEZ
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Desenvolvimento de embalagens antimicrobianas para alimentos;CAROLINE COSTA MORAES
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Captura biológica de CO2 por microalgas marinhas para produção de biomassa e avaliação do seu potencial biotecnológico;RODRIGO SEBASTIAN IGLESIAS
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;GT-Lanse Fase 1.0;TIAGO THOMPSEN PRIMO
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;GT-Lanse Fase 2.0;TIAGO THOMPSEN PRIMO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;APRIMORAMENTO DO MODELO DE PRECIFICAÇÃO PARA COMPRAS RGS;MARCIA HELENA BARBIAN
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;CONCEPÇÃO E PROJETO DE FERRAMENTAS DE GESTÃO PARA O SETOR AGROPECUÁRIO;VINICIUS DO NASCIMENTO LAMPERT
UCS;UNIVERSIDADE DE CAXIAS DO SUL;Conforto_CR;CARLOS ALBERTO COSTA
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;DESENVOLVIMENTO DE FITA DE INDICADOR ALIZAROL PARA DETECÇÃO DE ACIDEZ DO LEITE IN NATURA;ELTON LUIS GASPAROTTO DENARDIN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Biotecnologia  e nanotecnologia aplicadas a alimentos de origem vegetal;CESAR VALMOR ROMBALDI
UNISC;UNIVERSIDADE DE SANTA CRUZ DO SUL;Desenvolvimento e implantação de novas tecnologias para análise foliar e de solos;ADILSON BEN DA COSTA
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Rota2030-FUNDEP-Desenvolvimento de Motor a Biogás de Alta Eficiência Para Veículos de Transporte de Carga;MARIO EDUARDO SANTOS MARTINS
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Estudo e desenvolvimento de nanomateriais e biomateriais com aplicação tecnológica;ELTON LUIS GASPAROTTO DENARDIN
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Avaliação de formulações contendo probióticos na prevenção e no tratamento adjuvante da Diabetes Mellitus em camundongos Swiss com diabetes induzida com estreptozotocina;ANGELA NUNES MOREIRA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DEOXIRRIBOZIMA COMO BASE DE UMA NOVA PLATAFORMA PARA O DIAGNÓSTICO DA TUBERCULOSE: EM BUSCA DO POINT-OF-CARE;PEDRO EDUARDO ALMEIDA DA SILVA
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;E3 - Eletrônica Embarcada em Equipamentos;CARLOS EDUARDO PEREIRA
UNIPAMPA;UNIVERSIDADE FEDERAL DO PAMPA;Centro de Agrotecnologia e Inovação do Pampa;ALESSANDRO GONCALVES GIRARDI
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Viabilidade técnica e econômica para a implantação de um vinhedo de uvas Vitis vinifera com elementos da agricultura 4.0 no município de Urupema-SC.;TIAGO HENRIQUE DE PAULA ALVARENGA
UFCSPA;UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE;NOVOS PROCEDIMENOS E TECNICAS APLICADAS A CIRURGIA PLASTICA E REPARADORA;DENIS SOUTO VALENTE
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;e-COO - Cooperativismo de Plataforma: Inovação e Tecnologia social para o fortalecimento da agricultura familiar da Região geográfica imediata de Pelotas;SILVIA SILVA DA COSTA BOTELHO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;inPlace Design Automation;ANDRE INACIO REIS
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;Desenvolvimento de catalisadores para obtenção de tereftalato de bis-hidroxietila (BHET): molécula-base para a;ROSANE ANGELICA LIGABUE
IFRS;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL;Metodologia para a formação de professores para a educação 4.0;CARINE BUEIRA LOUREIRO
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Criação de instrumentais no tratamento de afecções pélvicas.;RICARDO FRANCALACCI SAVARIS
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ULP RADIO - RECEPTOR CMOS DE ULTRA-BAIXA DISSIPACAO PARA COMUNICACAO SEM-FIO EFICIENTE EM DISPOSITIVOS DE IOT;SERGIO BAMPI
