Sigla;Nome;Tipo Produção;Autores
UNESP-ARARAQUARA;Versatilidade de complexos [Eu(tta)3 (Phen-derivado): avaliação da aplicabilidade em Nanotermometria, Concentradores Solares Luminescentes e Sensoriamento de Oxigênio Singleto em meio biológico;TESE;['RODOLPHO ALESSANDRO NESTA SILVA']
UFSCAR;Statistical modeling as an aid to academic research and control of citrus greening and citrus canker diseases in orange cultivation;TESE;['MARCOS JARDEL HENRIQUES']
USP;O potencial da história da matemática como motivação para aprendizagem de equações através da resolução de problemas;DISSERTAÇÃO;['WILLIAM ERIC SANTOS FERREIRA']
UFSCAR;Biossensores contendo acetilcolinesterase de formigas cortadeiras para screening de potenciais inseticidas naturais;TESE;['SEAN DOS SANTOS ARAUJO']
UEL;Modelo lógico para gestão de riscos na criação de valor público no governo eletrônico;DISSERTAÇÃO;['JOSE EDUARDO SANTANA']
UFPB-JOÃO PESSOA;Weighted Hardy-Sobolev type inequalities and applications to indefinite elliptic problems;TESE;['RANIERI DE FRANCA FREIRE']
USP-SÃO CARLOS;Monte Carlo continuous action space solver for chance constrained Markov decision processes;DISSERTAÇÃO;['GUSTAVO DE MOURA SOUZA']
UNB;DROGAS DE ABUSO E SEUS METABÓLITOS EM ÁGUAS RESIDUÁRIAS COLETADAS DURANTE O REVEILLON DO DISTRITO FEDERAL;DISSERTAÇÃO;['ALEX DE SENE CORADO GUEDES']
UNICAMP;Propriedades homológicas e homotópicas de subgrupos de produtos diretos de grupos;DISSERTAÇÃO;['VITORIA APARECIDA SANTOS FERREIRA']
UERJ;Emaranhamento em sistema de muitos corpos ;DISSERTAÇÃO;['ERICK OTAVIO AQUINO LANDIM']
UFMG;Óxido de Grafeno Funcionalizado com Jeffamine com Potencial de Aplicação em Nanofluidos para Recuperação Avançada de Petróleo;DISSERTAÇÃO;['DEBORA DE OLIVEIRA NOGUEIRA']
UEM;Estudo da metabolômica não direcionada do nattô por molecular networking com cromatografia líquida e espectrometria de massas;DISSERTAÇÃO;['BRITNEY SARAH TOYAMA']
UFC;Geodiversidade e Comunidade Bentônica da Plataforma Continental Leste do Ceará: Indicadores e Linha de Base Ambiental Para a Sustentabilidade da Economia Azul;TESE;['PEGUY NOEL NKOUAMEN NEMZOUE']
UFSCAR;SÍNTESE DE DERIVADOS INDÓLICOS E AVALIAÇÃO FRENTE AO PLASMODIUM FALCIPARUM;TESE;['MARCELO AUGUSTO PEREIRA JANUARIO']
UFPE;O USO DA DISTRIBUIÇÃO LINDLEY GENERALIZADA NA CONSTRUÇÃO DE UM NOVO PROCESSO AUTORREGRESSIVO DE PRIMEIRA ORDEM;DISSERTAÇÃO;['EWELLYN KAROLLYNE ALVES DE ALENCAR FERREIRA']
IFMA-MONTE CASTELO;SÍNTESE E CARACTERIZAÇÃO DO SISTEMA SnO2.CoO.Nb2O5 PELO MÉTODO SOL-GEL PROTEICO UTILIZANDO MESOCARPO DE BABAÇU VIA HIDROTERMAL ASSISTIDO À MICRO-ONDAS;DISSERTAÇÃO;['JULIANA BRUZACA LIMA']
UFU;EduColab: Sistema de Recomendação Educacional para Promover a Colaboração em Fóruns de Discussão;TESE;['ANTONIO JUSTINIANO DE MORAES NETO']
UNESP-RIO CLARO;Investigação de estruturas auto-similares e stickiness em um poço de potencial dependente do tempo;TESE;['FLAVIO HELENO GRACIANO']
UFCG;APLICAÇÃO DE TÉCNICAS DE PRÉ-PROCESSAMENTO DE IMAGENS PARA MELHORIA DE IMPRESSÕES DIGITAIS CAPTURADAS POR CÂMERAS DE SMARTPHONES;DISSERTAÇÃO;['WESLEY ROSENO SARAIVA']
UFPEL;Descrição da Precipitação ocorrida durante a germinação da canola, no ano de 2022, no Centro Agropecuário da Palma - Capão do Leão - RS;DISSERTAÇÃO;['MARCOS JEAN DA SILVA']
UFC;Identificação de dispositivos elétricos em ambientes domésticos;DISSERTAÇÃO;['ANTONIO DAVID TAVARES AMURIM']
USP;Matéria escura e luminosa de lentes gravitacionais galácticas;DISSERTAÇÃO;['INGRID DOS SANTOS BELOTO']
UFF;“Simulação do Jogo Coronel Blotto com multi-jogadores em circuitos ópticos”;DISSERTAÇÃO;['GABRIELA DA SILVA GREGORIO PEREIRA TIAGO']
UNESP-SÃO JOSÉ DO RIO PRETO;Anel de inteiros algébricos e discriminante de uma família de corpos de números cujo grau é uma potência de 2;TESE;['LIVEA CICHITO ESTEVES']
UFES;Síntese e caracterização de MOFs e seus compósitos utilizados na modificação de eletrodos de carbono aplicados como sensores eletroquímicos;TESE;['RAMON RAONI FERREIRA DA FONSECA']
UFC;Regularidade elíptica para modelos não-lineares com condição de bordo oblíquo e aplicações;TESE;['JUNIOR DA SILVA BESSA']
