Sigla;Nome;Tipo Produção;Autores
UFRN;Estudo de Nanopartículas de Ferritas para Potenciais Aplicações em Imãs Permanentes e Hipertermia Magnética: Análise das Propriedades Magnéticas e Estruturais;TESE;['MARCOS SANTOS NUNES']
UFPB-JOÃO PESSOA;Free Boundary Problems with Gradient Activation and Oscillatory Singularities;TESE;['AELSON OLIVEIRA SOBRAL']
UEPG;Estados Dinâmicos de Redes Neuronais com Corrente Lenta de Potássio;DISSERTAÇÃO;['CONRADO FERREIRA BITTENCOURT']
UFSM;CATÁLOGO DE MELHORES PRÁTICAS DE GESTÃO DE PESSOAS EM PROJETOS DE DESENVOLVIMENTO DE SOFTWARE;DISSERTAÇÃO;['MARCELO FALKOWSKI BURKARD']
IME;PRODUÇÃO SUSTENTÁVEL DE LEVULINATOS DE ALQUILA DE CADEIA LONGA SOBRE CATALISADORES A BASE DE NIÓBIO EM REAÇÕES DE ESTERIFICAÇÃO E ALCOÓLISE;TESE;['CAMILA CALICCHIO LOPES']
UFCG;AN INVESTIGATION OF PRE-TRAINING APPROACHES FOR MATRIX FACTORIZATION-BASED RECOMMENDER SYSTEMS;DISSERTAÇÃO;['JULIO BARRETO GUEDES DA COSTA']
UNICAMP;FOSSILDIAGÊNESE DE ICNOFÓSSEIS ASSOCIADA A AÇÃO DE ESTEIRAS MICROBIANAS ;DISSERTAÇÃO;['BRUNO BELILA RUSINELLI']
UFSCAR;Noisy Self-Training with Data Augmentations for Offensive and Hate Speech Detection Tasks;DISSERTAÇÃO;['JOAO AUGUSTO LEITE']
UFRGS;Efficient Constraint-Based Approach for Endoscopic Surgery Simulation;DISSERTAÇÃO;['MARCELO GOMES MARTINS']
UFG;Desenvolvimento de método para a determinação da razão isotópica entre isótopos estáveis de carbono via Orbitrap-MS;DISSERTAÇÃO;['GIOVANNI BONATTI BEVILAQUA']
UFRGS;A CORAGEM DE DESALOJAR-SE DE CONCEITOS DO ENSINO DE CIÊNCIAS DA NATUREZA E SEUS DESAFIOS PARA A FORMAÇÃO DOCENTE;TESE;['MARIANA STEGUES MARASCA DOS SANTOS']
USP-SÃO CARLOS;BUT2: Uma nova ferramenta para rastrear e identificar arquivos ilegais compartilhados na rede BitTorrent por meio de buscas passivas;DISSERTAÇÃO;['JORGE ANDRE DOMINGUES BARRETO']
UFPEL;Development of Methods for Halogen and Sulfur Determination, Speciation and Bioavailability Assessment in Seafood;TESE;['FERNANDA PITT BALBINOT']
UFC;How they relate and leave: understanding atoms of confusion in open-source java projects;DISSERTAÇÃO;['FRANCISCO OTON PINHEIRO NETO']
UFRJ;BIOMECÂNICA EM TITANOSSAUROS (DINOSAURIA, SAUROPODA) DO CRETÁCEO DO BRASIL: IMPLICAÇÕES PALEOBIOLÓGICAS SOBRE A POSTURA E ALCANCE DE MOVIMENTO DO PESCOÇO E CAUDA;TESE;['LUCIANO DA SILVA VIDAL']
PUC MINAS;UMA ABORDAGEM PARA OFFLOADING EM REDES VEICULARES CONSIDERANDO MÚLTIPLOS SALTOS EM UM CENÁRIO DE SOBREPOSIÇÃO DE RSU;TESE;['EFREM ELADIE DE OLIVEIRA LOUSADA']
UNICAMP;MAPOFCEM: Model-Agnostic Pareto-Optimal Feasible Counterfactual Explanations Mining;DISSERTAÇÃO;['ARTHUR HENDRICKS MENDES DE OLIVEIRA']
IMPA;The Lie 2-Algebra of Multiplicative Vector-Valued Differential Forms;DISSERTAÇÃO;['FERNANDO SIMOES GUIMARAES PINTO NAZARIO']
UNB;Análise da Cybersickness através de Biosinais: uma abordagem com Machine Learning Simbólico;DISSERTAÇÃO;['WEDREY NUNES DA SILVA']
UNESP-ARARAQUARA;Formando espíritos científicos: desenho e implementação de sequências de experimentos investigativos em um curso de graduação em química;TESE;['MATHEUS ALMEIDA BAUER ZYTKUEWISZ']
UNICENTRO;“Cores Sustentáveis: Pigmentos obtidos a partir de alumínio metálico reciclado”;TESE;['DIENIFER FERNANDA LOPES HORSTH']
UNICAMP;Interseção de Esferas e Cascas Esféricas em Rn;TESE;['LAURINDO DANIEL SILVA DA ROCHA']
UFES;A Transfer Learning Approach for Brake Fluid Leakage Detection in Gondola Wagons;DISSERTAÇÃO;['JORDANA LUCIA REIS']
UFPR;IDENTIFICAÇÃO DE ESTRUTURAS FAVORÁVEIS A PROSPECÇÃO  DE ÁGUA SUBTERRÂNEA EM AQUÍFERO FRATURADO VULCANICO,  A PARTIR DE TÉCNICAS DE ALTA RESOLUÇÃO;DISSERTAÇÃO;['FERNANDA LUISA DA COSTA']
UFPR;Explorando o Design de Complexos Organometálicos do Tipo Sanduíche como Potenciais Qubits Moleculares;TESE;['SARITA WISBECK']
UFRJ;Physiologically-Structured Population Dynamics Based on Temperature and Rainfall for Tropical Dengue Mosquitoes;DISSERTAÇÃO;['GUILHERME HILARIO MONTEIRO']
USP;The biological carbon pump in the 21st century: potential threats of rising sea surface temperature (SST) and coastal pollution by emerging contaminants (ECs);TESE;['LUCIANA ROCHA FRAZAO']
UFU;Algoritmo evolutivo multiobjetivo para o escalonamento de produção com restrição na indústria farmacêutica;DISSERTAÇÃO;['DEBORA TOSHIE KOHARA']
UFMG;Síntese e Reatividade de Complexos de Pt(II) com Análogos de Purinas: Interação com Proteínas-Alvo e Potencial Terapêutico Contra Leucemia Mieloide Crônica;DISSERTAÇÃO;['JULIA RESENDE LOPES SILVA']
UFPR;A MACHINE LEARNING MODEL FOR CLOUD-TO-GROUND LIGHTNING NOWCASTING;DISSERTAÇÃO;['LUIS GUILHERME PAVAM JUNIOR']
UFAM;"""UMA ABORDAGEM INCLUSIVA PARA DESIGN COM CRIANÇAS COM AUTISMO""";TESE;['RALLYSON DOS SANTOS FERREIRA']
UERJ;"""Aspectos climáticos e regionais controladores da distribuição e fluxos da matéria orgânica dissolvida no oceano Austral """;TESE;['RAQUEL AVELINA DA CONCEICAO DOS SANTOS']
USP;Fantasmas de quantidades falecidas: o uso dos infinitésimos como ferramenta de quebra de paradigmas da matemática escolar;DISSERTAÇÃO;['FELIPE CORDEIRO FRANCISCO']
IMPA;O aluno do programa de mestrado do IMPA tem a opção de não defender dissertação. Em substituição à dissertação, o aluno pode cursar duas disciplinas de doutorado.;DISSERTAÇÃO;['SOFIA SAMPAIO LACERDA']
USP-SÃO CARLOS;Processos dinâmicos em redes de agentes móveis;DISSERTAÇÃO;['RICARDO TETTI CAMACHO']
ITA;IDENTIFICAÇÃO DE POTENCIAL DE NOVOS POSTOS DE ATENDIMENTO COOPERATIVO DO SISTEMA SICOOB;DISSERTAÇÃO;['AMANDA PEREIRA FERRAZ']
USP-SÃO CARLOS;Agregados de vidros silicato-borofosfato contendo nanopartículas de cobre autossuportadas para a catálise da oxidação parcial do metano em H2O2;TESE;['GUILHERME FELIPE LENZ']
UFPI;CARACTERIZAÇÃO QUÍMICA E ASSINATURA BIOMOLECULAR DAS PRIMEIRAS INCURSÕES MARINHAS NOS SISTEMAS LACUSTRES DA SEQUÊNCIA PÓS-RIFTE (NEOAPTIANA-EOALBIANA) DA BACIA DO ARARIPE;DISSERTAÇÃO;['ARTUR LEAL DE CARVALHO BARROS']
UNISINOS;AIDA: UMA ARQUITETURA INTELIGENTE PARA GERENCIAMENTO DE DIABETES;TESE;['LUIS CLAUDIO GUBERT']
USP;Identificação de conhecimento e práticas na avaliação de acessibilidade digital no mercado de software brasileiro;DISSERTAÇÃO;['ISABEL FRANCINE MENDES']
UFG;Efeitos de estatística quântica na estrutura e termodinâmica do 4He sólido com monovacâncias;TESE;['RHAYSON ALMEIDA DE SOUSA']
UFMG;Estudos Físico-químicos e Desenvolvimento de Baterias de Inserção de Prótons A Partir de Hexacianoferratos;TESE;['LORENA ALMEIDA CADETE COSTA']
UNB;Síntese, Caracterização Estrutural e Espectroscópica Teórica e Experimental de um Novo Ditiocarbazato e seus Complexos de Cobre(II) e Zinco(II);DISSERTAÇÃO;['THAIS SOARES DE OLIVEIRA LEITE']
UEM;Mineração de componentes de interface e metadados em  aplicativos móveis;DISSERTAÇÃO;['JONATHAN CESAR KUSPIL']
UFRGS;RELAÇÕES ENTRE A PERMEABILIDADE E A EROSÃO COSTEIRA NO LITORAL NORTE DO RIO GRANDE DO SUL;TESE;['ELAINE BARONI DE OLIVEIRA']
PUCPR;Classificação Automática de Doenças no Cultivo de Tomate em Estufas.;TESE;['GRASIELLI BARRETO ZIMMERMANN']
UEG;ESTUDO FITOQUÍMICO E AVALIAÇÃO DAS ATIVIDADES TÓXICA, CITOTÓXICA E ANTIMICROBIANA DE Tibouchina stenocarpa (Melastomataceae);DISSERTAÇÃO;['DAYANE CLAUDIA AMBROSIO DE LIMA']
UERJ;Caracterização de bens do patrimônio cultural e obras de arte utilizando as técnicas de Espectrometria de Raios X e Espectroscopia Raman;TESE;['FRANCIS ANNA CARDOSO REIS DE ALMEIDA SANCHES']
UFF;APOENA: uma Abordagem de Dimensionamento de Ambiente de Nuvem para Execução de Cargas de trabalho SQL-like por meio de Aprendizado de Máquina e Dados de Proveniência;DISSERTAÇÃO;['RASLAN OLIVEIRA RIBEIRO']
UFSCAR;Redesenvolvimento de um medicamento injetável utilizando conceitos Quality by design (QbD) e Design of experiments (DoE);DISSERTAÇÃO;['MICHELE CRISTINA ALECRIM DE LIMA AGUILAR']
UNIFAL-MG;ECONOFÍSICA, ANALISE DE AGRUPAMENTOS E SELEÇÕES DE CARTEIRA PELO MODELO DE MARKOWITZ;DISSERTAÇÃO;['BRUNA MANCILHA OLIVEIRA RODRIGUES']
USP-SÃO CARLOS;Imersões isométricas de produtos warped;DISSERTAÇÃO;['GUSTAVO SYLVIO DE PAULA MENANI']
UFRGS;Frequency Adjustment of Triangle Meshes;DISSERTAÇÃO;['FELIPE EINSFELD KERSTING']
UFF;CARACTERIZAÇÃO MINERAL, GEOQUÍMICA E RADIOLÓGICA DO SOLO NO TRECHO ENTRE LAVRINHAS/SP E PORTO REAL/RJ NO VALE DO PARAÍBA;TESE;['VIVIANE DA COSTA SANT ANNA']
USP;Um método de Newton semi-suave para equações de projeção cônica;TESE;['NICOLAS ESTEBAN FUENTEALBA ARMIJO']
UFC;Gaussian Process Latent Variable Models for Anomaly Detection: Implementation and Practical Considerations;DISSERTAÇÃO;['DAVI LOTFI LAVOR NAVARRO DA ROCHA']
UFRPE;MATERIAIS FOTOCATALÍTICOS DE BAIXO CUSTO APLICADO AO TRATAMENTO DE EFLUENTES TÊXTEIS;DISSERTAÇÃO;['FERNANDA KAROLINE DA SILVA']
UNESP-ARARAQUARA;Evolução de intermediários ativos na reação MTO com chabazita;TESE;['ELEN MARIA FELICIANO PEREIRA']
USP-RIBEIRÃO PRETO;Métodos computacionais e Machine Learning aplicados ao estudo de propriedades espectroscópicas de novas substâncias psicoativas.;TESE;['CHRISTIANO DOS SANTOS']
UFPA;Efeitos de manejo de lianas e plantas herbáceas, de poda e de fogo á regeneração natural de árvores na borda de um fragmento de floresta tropical sob importo humano.;DISSERTAÇÃO;['MAYARA FERNANDA SILVA SOUSA']
UFSC;Efeito de ácidos dicarboxílicos sobre o desempenho anticorrosivo da camada de conversão química da liga de magnésio AZ31;DISSERTAÇÃO;['MARKUS VINICIUS LEAL DA SILVA']
UFV;EFEITO DA TEMPERATURA DOS GASES DE PIRÓLISE E DO TEMPO DE ARMAZENAMENTO NA QUALIDADE DO EXTRATO PIROLENHOSO DE EUCALIPTO;DISSERTAÇÃO;['LAWRENCE PIRES DE OLIVEIRA']
UFF;OCORRÊNCIA DE CO2 NOS AQUÍFEROS DA PORÇÃO EMERSA DA BACIA DE CAMPOS - RJ NITERÓI;DISSERTAÇÃO;['CAMILLE DE ABREU NUNES LONGO']
UFRGS;HIDROGÉIS DE ALGINATO PARA BIOIMPRESSÃO 3D: UM ESTUDO EXPLORATÓRIO.;DISSERTAÇÃO;['NATALIA KOHLRAUSCH VERNETTI DOS SANTOS']
UFC;Research Flow: Uma biblioteca para modelagem e desenvolvimento de pesquisas em aprendizagem de máquina;DISSERTAÇÃO;['JOAO ARAUJO CASTELO BRANCO']
UNICAMP;Uso dos algoritmos J48 e Multilayer Perceptron para predição do diagnóstico de resistência à insulina em adultos no Brasil;TESE;['LEANDRO SILVA TEIXEIRA']
UFSCAR;Persistent Leray’s spectral sequence and separation property for generalized manifold;TESE;['TELMO IRINEO ACOSTA VELLOZO']
UFRPE;Síntese, caracterização e estudo farmacológico de Novos Protótipos de Derivados de Produtos Naturais Triazólicos ;DISSERTAÇÃO;['TATIANA DE ALMEIDA SILVA']
UESC;OTIMIZAÇÃO EM MAMOGRAFIA DIGITAL COM VARIAÇÃO DE ESPESSURA E GLANDULARIDADE DA MAMA;DISSERTAÇÃO;['KRIZIA ROSY CAPIZZI']
UNIOESTE;Método non-targeted aplicado em méis de abelha sem ferrão: combinação de análises físico-químicas e eletroanalítica com quimiometria;DISSERTAÇÃO;['VICTOR LEONARDO RODRIGUES PINHEIRO']
UFSC;Síntese, caracterização e investigação das propriedades leishmanicida e antioxidante de compostos de coordenação de cobalto, cobre, ferro e manganês contendo ligantes cumarínicos;TESE;['SAMUEL DE MACEDO ROCHA']
IFPB;Sistema Inteligente para Seleção e Agrupamento de Peças de MDF em um Setor Industrial;DISSERTAÇÃO;['EDER MADRUGA COELHO']
USP;Produção de charmonium exótico em colisões nucleares ultra-periféricas;DISSERTAÇÃO;['FERNANDO CESAR SILVA SANTOS SOBRINHO']
UFSC;Unveiling chemical and biological profiles of plant-fermented kombucha culture through  metabolomic studies using LCMS data assisted by MS databases;TESE;['GEOVANNA DE OLIVEIRA COSTA']
UFPA;ESTUDO ISOTÓPICO DO DEPÓSITO AURÍFERO VOLTA GRANDE, DOMÍNIO BACAJÁ, SUDESTE DO CRÁTON AMAZÔNICO;TESE;['HELMUT SOUSA PIMENTEL']
UFPE;Tomada de Decisão Orientada à Motivação na Aprendizagem para Inovação em  Equipes Multidisciplinares;TESE;['ALVARO MAGNUM BARBOSA NETO']
UFABC;As teorias de gauge não-comutativas;TESE;['OLAVO DE BRITTO ABLA']
UFC;Uma nova interpretação acerca do impacto da frenagem magnética e da interação de maré na evolução da rotação estelar;TESE;['THIAGO DE MELO SANTIAGO']
USP-SÃO CARLOS;Graph Neural Networks contributions and advancements;TESE;['THALES DE OLIVEIRA GONCALVES']
UECE;Artes visuais e educação ambiental: experiência pedagógica em uma escola municipal de tempo integral de Fortaleza (CE);DISSERTAÇÃO;['DIANA LACERDA LEITE']
UFC;Estudo in sílico de derivados semissintéticos da estemodina e obtenção de um composto mais ativo no controle de linhagem de células de carcinoma de cólon humano (HCT-116);DISSERTAÇÃO;['ANTONIO MARCELO ALVES LIMA']
UFG;ESTUDO DO EFEITO REGIONAL NAPRODUÇÃO DE CERVEJAS NO BRASIL Uma abordagem via Ressonância Magnética Nuclear e Inteligência Artificial;TESE;['FLAVIA CARNEIRO GONCALVES']
UFMG;Sequential Bayesian Analysis of the Non-Gaussian State-Space Models Family;DISSERTAÇÃO;['DANIEL VALADARES FROTA MORAIS']
UNISINOS;VIBES: A COMPUTATIONAL MODEL FOR STUDENT BEHAVIOR INFERENCE THROUGH USER-DEFINED BEHAVIORS AND CONTEXT AWARENESS;DISSERTAÇÃO;['LUIS GUILHERME EICH']
UFVJM;ANÁLISE GEOQUÍMICA DA ÁGUA SUPERFICIAL E DE ABASTECIMENTO DA BACIA HIDROGRÁFICA DO RIO PIAUÍ, LOCALIZADA NA PROVÍNCIA LITINÍFERA DO ESTADO DE MINAS GERAIS;DISSERTAÇÃO;['JULIELEM CAROLINE SOUZA']
UNESP-ARARAQUARA;“Nanohíbridos luminescentes emissores de luz vermelha para aplicações em imageamento celular e nanotermometria”;TESE;['JOAO ANTONIO OLIVEIRA SANTOS']
UNICAMP;Modelagem teórica de monocamadas anfifílicas: gás de rede de Doniach em redes tripartidas na aproximação de pares;TESE;['CAROLINA PAZ BARATEIRO VIGNOTO']
UFMG;Otimização do Processo Produtivo de Plasmon-tunable Tip Pyramids (pttp) para Tip-enhanced Raman Spectroscopy (ters) ;DISSERTAÇÃO;['DEYBSON LUCAS ROMUALDO SILVA']
UFG;Escolha de parâmetros aplicados a modelos inteligentes para o incremento da qualidade do aprendizado de sinais de EEG captados por dispositivo de baixo custo;TESE;['MURILO BORGES SILVA']
UFMG;Crenças e Atitudes na Física e sua Aprendizagem: análises estatísticas e  teóricas a partir do questionário CLASS;DISSERTAÇÃO;['JOAO RAFAEL DE SOUZA REIS']
UFRGS;Captação  de  água  atmosférica  utilizando  nanomateriais (Atmospheric  Water  Harvesting  Using Nanomaterials);TESE;['FERNANDA RODRIGUES LEIVAS']
UNB;ESTUDO DA HETEROJUNÇÃO UiO-66/g-C3N4 COMO FOTOCATALISADOR ATIVO PELA LUZ VISÍVEL PARA TRATAMENTO DE AZUL DE METILENO EM EFLUENTES;DISSERTAÇÃO;['HIASMIN CHRISTINE KURRLE PINHEIRO SODRE']
UFSC;Pioneering the Future of Electronic Identity: From Post-Quantum Cryptography to Fiduciary Principles;TESE;['FREDERICO SCHARDONG']
UFF;Geração de Pseudomedidas Através de Modelos Generativos na Supervisão de Redes Elétricas de Distribuição;DISSERTAÇÃO;['LUIZ PHILLIP QUINTANILHA DA SILVA']
UFF;AVALIAÇÃO DO PROGRAMA DE MONITORAMENTO DA QUALIDADE DAS ÁGUAS DE DOIS RIOS DO PARQUE NACIONAL DA SERRA DOS ÓRGÃOS (PARNASO, RJ) EM FUNÇÃO DA DUPLICAÇÃO DA RODOVIA BR-116;DISSERTAÇÃO;['MARCELE ABREU LOPES']
USP;Atualização de modelos geológicos utilizando técnicas de aprendizagem supervisionadas para interpretação de domímios geológicos.;DISSERTAÇÃO;['MARCELA MARTINS']
UFJF;Condições de Otimalidade em Programação Não Linear;DISSERTAÇÃO;['GERALDO HENRIQUE MENEZES FERREIRA']
PUC-RIO;Ferrocene-derived N-acylhydrazonic ligands as metallophores and electrochemical probes in the context of Alzheimer's disease;DISSERTAÇÃO;['MATHEUS SILVA DE MENEZES']
USP;Pagamentos offline pela transferência por representação de valor para criptomoedas;DISSERTAÇÃO;['ROGERIO LOPES PASSOS']
UNIFESP;MACROANATOMIA ENCEFÁLICA DE Sphyrna lewini (GRIFFITH & SMITH, 1834): IMPLICAÇÕES NEUROECOLÓGICAS;DISSERTAÇÃO;['ADEANE DE SOUZA SILVA']
UFPE;Interoperabilidade: uma teoria fundamentada em dados;TESE;['JACKSON RANIEL FLORENCIO DA SILVA']
UFERSA;ATLAS DO CAMARÃO SIG MÓVEL: UMA FERRAMENTA PARA A APRESENTAÇÃO E ROTEAMENTO DE CADEIAS DE INSUMOS EM CARCINICULTURA;DISSERTAÇÃO;['JOAO FILHO FREIRE LOPES']
FURG;AGROTÓXICOS EM AMOSTRAS DE ÁGUA E SEDIMENTO: ESTUDO DE MÉTODOS ANALÍTICOS E INVESTIGAÇÃO DA OCORRÊNCIA NA BACIA HIDROGRÁFICA DO ARROIO SÃO LOURENÇO;TESE;['JULIANE MARQUES DOS SANTOS']
UFAM;DESENVOLVIMENTO DE MEMBRANAS DE POLI (ε- CAPROLACTONA) INCORPORADAS COM NANOPARTÍCULAS DE PRATA COMROTADESÍNTESEVERDE;DISSERTAÇÃO;['JESSICA FEITOSA CUNHA']
UFMG;EVOLUÇÃO CRUSTAL ARQUEANA DO BLOCO PORTEIRINHA, ORÓGENO ARAÇUAÍ (SE, BRASIL);TESE;['DIOGO GABRIEL SPERANDIO']
UNIVAP;ESTUDO TERMODINÂMICO DA FORMAÇÃO DE MOLÉCULAS EM AMBIENTES ASTROQUÍMICOS;DISSERTAÇÃO;['MARCELO SILVA MATEUS']
UNICID;Exploring stellar and AGN feedback in a dwarf spheroidal galaxy with SPH simulations.;TESE;['ROBERTO HAZENFRATZ MARKS']
UDESC;MODIFICAÇÃO SUPERFICIAL DE TECIDO DE ALGODÃO PARA ADSORÇÃO E RETENÇÃO DE ÓLEOS ESSENCIAIS;DISSERTAÇÃO;['AFIFEH RAFAT FADEL KHADER']
UESC;Uso de rede neurais para a previsão de variáveis ambientais;DISSERTAÇÃO;['NUNO AVELAR NASCIMENTO']
UFG;Aplicação de CNN e LLM na Localização de Defeitos de Software;TESE;['ALTINO DANTAS BASILIO NETO']
UNICAMP;Adaptive Asynchronous Pipeline Parallelism for Large Language Models;DISSERTAÇÃO;['GUILHERME MENDELEH PERROTTA']
USP;Detecção de ataques DDoS no tráfego da IoT utilizando métodos ensemble para classificação de fluxos contínuos de dados;DISSERTAÇÃO;['KETLY GONCALVES MACHADO']
IFSC;ANÁLISE DOS IMPACTOS DAS EMISSÕES DE GASES DE EFEITO ESTUFA PROVENIENTES DE COMPOSTAGEM;DISSERTAÇÃO;['GLENDA FAUTH']
UFF;HIDROGÉIS IÔNICOS: SÍNTESE E CARACTERIZAÇÃO PARA A DETERMINAÇÃO DE COBRE E AZUL BRILHANTE ATRAVÉS DA ANÁLISE DE IMAGENS DIGITAIS;TESE;['IGOR COREIXAS DE SA']
PUCRS;ARMAZENAMENTO DE DADOS EM APPENDABLE-BLOCK BLOCKCHAIN: CASO DE USO PARA A GESTÃO DO CICLO DE VIDA DE DISPOSITIVOS;DISSERTAÇÃO;['RODRIGO WETZEL SILVEIRA']
UFRJ;DINÂMICA SEDIMENTAR DO SISTEMA EÓLICO CONTEMPORÂNEO DE ITAÚNAS – NORTE DO ESTADO DO ESPÍRITO SANTO, SUDESTE BRASILEIRO;TESE;['CAIQUE LIMA CABRAL']
UFPR;DETERMINAÇÃO DO POTENCIAL DE TRANSIÇÃO COM RANDOM FOREST EM PROCESSOS DE EXPANSÃO URBANA EM CURITIBA E VETOR LESTE DA RMC;DISSERTAÇÃO;['HENRIQUE PESCHL']
UNICAMP;Dynamic Network Slicing for User Mobility Support in 5G Networks;TESE;['DIOGO MACHADO GONCALVES']
UNIPAMPA;CoderBot: um assistente virtual para apoiar a aprendizagem de programação por meio de worked examples;DISSERTAÇÃO;['RENATO DE SOUZA GARCIA']
PUCRS;ENHANCING LIFETIME RELIABILITY OF MANYCORE SYSTEMS THROUGH REINFORCEMENT LEARNING-BASED TASK MANAGEMENT;TESE;['IACANA IANISKI WEBER']
UFG;Fourth order Euler-Heisenberg-type effective action for QCD with sources;DISSERTAÇÃO;['IGOR DE MELO FROLDI']
UFPA;Classificação de Dados Textuais Não Estruturados: Um Estudo de Caso na Área da Segurança Pública;DISSERTAÇÃO;['BRENDA KALINE DO NASCIMENTO CARDOSO']
UDESC;APLICAÇÃO DE SOLVENTES EUTÉTICOS PROFUNDOS PARA DETERMINAÇÃO DE PESTICIDAS ORGANOFOSFORADOS E INSETICIDAS PIRETRÓIDES EM AMOSTRAS DE ÁGUA POR CROMATOGRAFIA A GÁS-ESPECTROMETRIA DE MASSA;DISSERTAÇÃO;['WILLIAM HENRIQUE SLOMINSKI']
UFES;Microdispositivos a Base de Papel para análise de Drogas de Abuso ;TESE;['JADSON ZENI DOS REIS']
UFMS;SeSGx-BT: Modelagem de Tópicos utilizando Transformers aplicada em Estudos Secundários;DISSERTAÇÃO;['DEMETRIUS MOREIRA PANOVITCH']
UFMG;Tip-enhanced Raman spectroscopy and photoluminescence in two-dimensional systems;TESE;['RAFAEL BATTISTELLA NADAS']
UNICAMP;Modelagens Matemáticas, Análises e Simulações Numéricas Comparativas de Epidemias de Contágio Humano-Humano: A Inclusão de Novos Aspectos;TESE;['DAVI VIEIRA RAMOS DE OLIVEIRA']
USP;Criogéis à base de biopolímeros para adsorção de metais de interesse econômico em um resíduo multimetálico real;DISSERTAÇÃO;['VICTOR HUGO DE ARAUJO BRAGA']
UEM;Carvão quimicamente ativado do bagaço do malte para adsorção de CO2: Otimização do preparo usando método simplex centróide;DISSERTAÇÃO;['GIOVANNA CONSOLARO CARLOS']
UFPI;Avaliação de Desempenho de Redes Veiculares Ad Hoc  com RSUs e Filas de Prioridade;DISSERTAÇÃO;['JORGE RAFAEL LOIOLA DE MACEDO']
UNESP-ARARAQUARA;Desenvolvimento de compósito termossensível baseado em híbridos ureasil-poliéter para liberação tópica de antimicrobianos;TESE;['WILLIAN MAX OLIVEIRA DE SOUZA DE SANTANA']
UNESP-SÃO JOSÉ DO RIO PRETO;Um Princípio do Máximo Assintótico e uma Condição de Qualificação Associada para Controle Ótimo com Restrições Mistas;TESE;['RODRIGO BARBOSA MOREIRA']
UNICAMP;Subespaços Invariantes do Polidisco;DISSERTAÇÃO;['ARTUR DE AQUINO BLOIS']
UFPE;ABORDAGEM PRÁTICA DA INTEGRAÇÃO DO GOOGLE EARTH ENGINE E GOOGLE COLABORATORY NO PROCESSAMENTO DIGITAL DE IMAGENS;DISSERTAÇÃO;['SABRINA DE OLIVEIRA GOMES']
UNIFESSPA;AVALIAÇÃO DE UM BIOSSURFACTANTE PRODUZIDO A PARTIR DE RECURSOS NATURAIS AMAZÔNICOS NA FORMULAÇÃO  DE NANOEMULSÕES PARA O MANEJO DA MASTITE BOVINA;DISSERTAÇÃO;['YARA GOMES DA CONCEICAO']
UNIOESTE;Associação de antibiótico com íons metálicos como estratégia de reposicionamento de fármacos: norfloxacina e ciprofloxacina combinada com íons Co2+ e Zn2+;DISSERTAÇÃO;['JEANE PATRICIA CARDOZO DOS SANTOS']
UFF;INFERÊNCIAS SOBRE FLUIDOS DO PRÉ-SAL DO CAMPO DE BÚZIOS, BACIA DE SANTOS, ATRAVÉS DOS GRADIENTES DE PRESSÃO DE POROS;DISSERTAÇÃO;['BRUNA SOUZA DA SILVA']
USP-SÃO CARLOS;Síntese de diidropirimidinonas/tionas: desenvolvimento de metodologias sintéticas e enzimáticas para a obtenção de derivados bioativos;TESE;['LUCAS LIMA ZANIN']
UERJ;"""Nichos acústicos de cetáceos na Baía da Ilha Grande (RJ)""";DISSERTAÇÃO;['MYLLENE DA SILVA FERNANDES']
USP-SÃO CARLOS;O Funcionamento Diferencial dos Itens na Indução de Classificadores Mais Justos;TESE;['DIEGO MINATEL']
UNIFESSPA;INVESTIGAÇÃO DO COMPORTAMENTO ELETROQUÍMICO DO FLUNITRAZEPAM USANDO ELETRODOS IMPRESSOS COMERCIAIS DE CARBONO: ESTRATÉGIA DE BAIXO CUSTO PARA APLICAÇÃO EM QUÍMICA FORENSE;DISSERTAÇÃO;['ELLEM DE FRANCA LIMA']
USP-SÃO CARLOS;Classificação de Variações Linguísticas do Português do  Brasil por meio da Fala;DISSERTAÇÃO;['ARIADNE NASCIMENTO MATOS']
FURG;CARCAÇAS ENCALHADAS COMO INDICADORES DA INTERAÇÃO DA MEGAFAUNA COM A PESCA: UM ESTUDO DE CASO COM O LEÃO-MARINHO -SUL-AMERICANO NO EXTREMO SUL DO BRASIL;DISSERTAÇÃO;['CAIO RIBEIRO SOARES OLIVEIRA']
UFC;Álgebra de Pinsker e a propriedade K.;DISSERTAÇÃO;['BRENO CAVALCANTE DE SOUSA']
UFRN;ENERGIA EÓLICA E SUSTENTABILIDADE: IMPACTO DOS PARQUES EÓLICOS NA TEMPERATURA DA SUPERFÍCIE E NA VEGETAÇÃO DA CAATINGA;DISSERTAÇÃO;['MARINA DE SIQUEIRA']
UFRPE;DESENVOLVIMENTO DE NOVOS PROTÓTIPOS AMIDOXÍMICOS APLICADOS NO ENFRENTAMENTO DO Aedes aegypti;DISSERTAÇÃO;['ALECIA REGINA ANDRESA SILVA']
UFSCAR;APLICAÇÃO DE TÉCNICAS AVANÇADAS DE RESSONÂNCIA MAGNÉTICA NUCLEAR PARA ANÁLISE DE PRODUTOS FARMACÊUTICOS COM FOCO EM ANÁLISE DE MISTURAS;TESE;['ELIDA BETANIA ARIZA PAEZ']
